menu,restaurantChain,Calories(kcal),Sugar(g),Cholesterol(mg),Saturated Fat(g),Sodium(mg),Protein(g),Fiber(g),Calcium(mg),Iron(mg),Vitamin A(IU),Vitamin C(mg),id,RRR_m1
Avocado & Quinoa Superfood Ensalada,Mendocino Farms,690,10,20,8,1090,19,15,0,0,0,0,1234325,1.541004968
The Impossible Taco Salad,Mendocino Farms,640,7,0,8,980,19,16,0,0,0,0,1234325,1.849463924
"The ""Beyond"" Taco Salad - Tustin location only",Mendocino Farms,650,7,0,6,950,20,15,0,0,0,0,1234325,1.985738012
Pink Lady Beets & Goat Cheese Salad,Mendocino Farms,840,36,75,9,1030,34,8,0,0,0,0,1234325,1.055275018
The Modern Caesar,Mendocino Farms,610,6,130,10,990,21,7,0,0,0,0,1234325,0.936398623
"""Not So Fried"" Chicken - Salad Style",Mendocino Farms,740,21,65,4.5,1510,31,7,0,0,0,0,1234325,1.151897763
Mama Chen's Chinese Chicken Salad,Mendocino Farms,640,17,60,2,1010,33,5,0,0,0,0,1234325,1.49837965
Mama Chen's Chinese Vegan-Style Salad,Mendocino Farms,750,19,0,4,1300,27,6,0,0,0,0,1234325,1.240424098
Thai Mango Salad,Mendocino Farms,840,38,60,14,1780,35,12,0,0,0,0,1234325,0.988617568
Grilled Cheddar Cheese Sandwich,Mendocino Farms,610,8,130,21,650,22,2,0,0,0,0,1234325,0.573108316
Peanut Butter & Jelly,Mendocino Farms,520,24,40,4.5,410,14,5,0,0,0,0,1234325,0.898036799
Cheddar Cheese Quesadilla,Mendocino Farms,410,0,45,11,670,16,7,0,0,0,0,1234325,1.191168454
Turkey & Cheddar Sandwich,Mendocino Farms,540,8,125,14,740,26,2,0,0,0,0,1234325,0.79135455
Crispy Chicken (turbo chef),Mendocino Farms,320,3,60,2.5,670,30,2,0,0,0,0,1234325,2.00712986
Ciabatta,Mendocino Farms,260,0,0,0.5,160,7,2,0,0,0,0,1234325,2.353754667
Gluten Free Bread,Mendocino Farms,420,8,0,2,920,6,6,0,0,0,0,1234325,0.960591133
Mom's Seeded Whole Wheat,Mendocino Farms,320,4,10,2,400,8,2,0,0,0,0,1234325,1.057241223
Potato Brioche Hoagie,Mendocino Farms,240,3,35,1,500,8,2,0,0,0,0,1234325,1.025730436
Rustic White,Mendocino Farms,320,0,0,0,560,10,2,0,0,0,0,1234325,1.681804187
Sesame Brioche,Mendocino Farms,280,8,40,2,250,8,2,0,0,0,0,1234325,0.901160916
Sesame Roll,Mendocino Farms,300,1,0,0.5,640,8,2,0,0,0,0,1234325,1.222521163
Soft Roll,Mendocino Farms,340,1,0,0,770,9,2,0,0,0,0,1234325,1.197774885
Walnut Cranberry Bread,Mendocino Farms,340,18,0,1,440,8,4,0,0,0,0,1234325,0.981639555
White Rye,Mendocino Farms,280,0,0,0,820,10,4,0,0,0,0,1234325,1.726294721
Whole Wheat Tortilla,Mendocino Farms,230,0,0,3,400,5,7,0,0,0,0,1234325,1.993561169
Red Beets & Farro Salad Medium,Mendocino Farms,430,18,5,3,380,9,8,0,0,0,0,1234325,1.283830832
Spicy Dijon Potato Salad Medium,Mendocino Farms,540,2,0,2,860,4,3,0,0,0,0,1234325,0.596822756
Kale and Apple Salad Medium,Mendocino Farms,510,16,0,7,250,2,6,0,0,0,0,1234325,0.614991738
Curried Couscous Medium,Mendocino Farms,580,13,0,0,1210,4,4,0,0,0,0,1234325,0.517748918
Basil Pesto Shells Medium,Mendocino Farms,560,2,30,8,990,17,4,0,0,0,0,1234325,0.965378502
Almond Romesco Shells Medium,Mendocino Farms,350,4,0,2,660,10,4,0,0,0,0,1234325,1.335203909
Creamy Potato Leek Soup cup,Mendocino Farms,140,5,20,4,410,2,2,0,0,0,0,1234325,0.45301505
Vegan Chili cup,Mendocino Farms,100,5,0,0,530,5,4,0,0,0,0,1234325,1.595918367
Turkey Hot Dog on a Stick,Hot Dog On A Stick,240,6,40,1,400,7,1,0,0,0,0,1234326,0.735518425
Veggie Dog On a Stick,Hot Dog On A Stick,200,6,10,1,380,12,1,0,0,0,0,1234326,1.471101586
Beef Hot Dog On a Stick,Hot Dog On A Stick,330,6,40,8,520,9,1,0,0,0,0,1234326,0.516349327
American Cheese On a Stick,Hot Dog On A Stick,260,6,40,7,600,9,0,0,0,0,0,1234326,0.452623907
Pepperjack Cheese On a Stick,Hot Dog On A Stick,260,6,40,7,510,8,1,0,0,0,0,1234326,0.512302189
French Fries,Hot Dog On A Stick,1000,0,0,9,1380,9,9,0,0,0,0,1234326,0.80875576
Funnel Cake Sticks Powder Sugar,Hot Dog On A Stick,420,19,40,7,340,4,0,0,0,0,0,1234326,0.16377878
Funnel Cake Sticks Chocolate Sauce,Hot Dog On A Stick,600,58,40,8,424,6,0,0,0,0,0,1234326,0.137761214
Funnel Cake Sticks Raspberry Sauce,Hot Dog On A Stick,540,44,40,8,380,4,0,0,0,0,0,1234326,0.108192866
chocolate chip cookie,Tender Greens,400,29,45,12,370,5,2,0,0,0,0,1234327,0.253462146
carrot cake,Tender Greens,500,45,45,5,430,5,2,0,0,0,0,1234327,0.246736993
caramel cookie,Tender Greens,420,33,55,11,670,5,1,0,0,0,0,1234327,0.179076832
olive oil cake,Tender Greens,370,32,40,3,125,4,1,0,0,0,0,1234327,0.248809153
roasted tomato (cup),Tender Greens,160,15,0,1,3090,8,7,0,0,0,0,1234327,0.577960284
rustic chicken (cup),Tender Greens,110,2,40,1,660,11,1,0,0,0,0,1234327,1.130898969
chipotle barbecue chicken,Tender Greens,653,8,81,8,1268,28,7,0,0,0,0,1234327,1.185733016
chinese chicken,Tender Greens,656,7,58,5,1201,33,6,0,0,0,0,1234327,1.524731941
grilled chicken cobb,Tender Greens,663,4,198,7,1045,28,6,0,0,0,0,1234327,1.031914348
harvest chicken,Tender Greens,960,19,175,12,1970,52,5,0,0,0,0,1234327,1.050545112
tuna nicoise,Tender Greens,650,4,160,5,1210,32,6,0,0,0,0,1234327,1.24573554
inecliterranean steak,Tender Greens,800,14,120,13,920,45,7,0,0,0,0,1234327,1.349765258
salt & pepper chicken,Tender Greens,250,0,150,2.5,370,39,0,0,0,0,0,1234327,2.140811456
chipotle barbecue chicken,Tender Greens,300,2,155,2.5,290,32,0,0,0,0,0,1234327,1.670575774
fried chicken,Tender Greens,340,0,105,3,270,28,0,0,0,0,0,1234327,1.778023192
katsu chicken,Tender Greens,340,0,105,3,270,28,0,0,0,0,0,1234327,1.778023192
steak,Tender Greens,270,0,95,4.5,240,34,0,0,0,0,0,1234327,2.176656151
ginger soy steak,Tender Greens,270,0,95,4.5,240,34,0,0,0,0,0,1234327,2.176656151
grilled salmon,Tender Greens,160,0,60,1,210,22,0,0,0,0,0,1234327,2.610939112
seared tuna,Tender Greens,190,2,45,1,350,28,0,0,0,0,0,1234327,2.873717091
togarashi tuna,Tender Greens,190,0,45,1,350,28,0,0,0,0,0,1234327,3.13077297
falafel,Tender Greens,1213,15,0,9,2379,24,18,0,0,0,0,1234327,1.174120254
grilled trout,Tender Greens,187,0,69,2,76,25,0,0,0,0,0,1234327,2.737964859
grilled selva shrimp,Tender Greens,146,0,191,1,203,26,0,0,0,0,0,1234327,1.53314988
baby greens,Tender Greens,200,0,0,1,382,1,1,0,0,0,0,1234327,0.440656318
baby spinach,Tender Greens,255,1,3,2,320,3,2,0,0,0,0,1234327,0.828407
baby arugula,Tender Greens,215,1,6,2,350,4,1,0,0,0,0,1234327,0.723804344
romaine hearts,Tender Greens,340,1,22,3,482,5,2,0,0,0,0,1234327,0.688027654
kale,Tender Greens,220,1,6.5,2,316,4.5,1,0,0,0,0,1234327,0.807812043
crostini,Tender Greens,160,0,0,0.5,250,2,1,0,0,0,0,1234327,0.885772417
mashed potatoes,Tender Greens,250,3,30,7,530,4,3,0,0,0,0,1234327,0.540603581
seasonal veggies (avg),Tender Greens,240,5,0,2,175,4,5,0,0,0,0,1234327,1.632037008
brown rice,Tender Greens,240,3,0,0.5,530,4,4,0,0,0,0,1234327,1.279509307
ifngerling potatoes,Tender Greens,208,1,0,1,78,3,3,0,0,0,0,1234327,2.009768776
farm salad,Tender Greens,116,4,0,1,127,3,1,0,0,0,0,1234327,0.983834721
pasta pearl salad,Tender Greens,426,3,1,3,193,8,4,0,0,0,0,1234327,1.483876989
fried chicken,Tender Greens,950,25,185,5,1500,42,3,0,0,0,0,1234327,0.949482161
the original s&p chicken,Tender Greens,810,4,190,12.5,1385,52,4,0,0,0,0,1234327,1.260769013
falafel,Tender Greens,560,8,0,13,1660,17,13,0,0,0,0,1234327,1.1098255
califomia: chipotle chicken,Tender Greens,1009,13,145,6,1877,57,13,0,0,0,0,1234327,1.696636855
california: salmon,Tender Greens,1117,12,141,9,1970,58,13,0,0,0,0,1234327,1.576963108
pacific: katsu chicken,Tender Greens,1113,38,171,4,3963,45,10,0,0,0,0,1234327,0.824995741
Pacific: grilled salmon,Tender Greens,886,37,75,4,3729,18,9,0,0,0,0,1234327,0.523482516
portofino: grilled selva shrimp,Tender Greens,952,5,192,7,691,35,6,0,0,0,0,1234327,1.224641925
portofino: grilled trout,Tender Greens,993,5,70,8,565,35,6,0,0,0,0,1234327,1.549126897
thai: grilled shrimp,Tender Greens,592,20,191,3,1424,33,3,0,0,0,0,1234327,0.912484436
thai: grilled steak,Tender Greens,649,20,45,6,1416,30,3,0,0,0,0,1234327,0.987545734
happier vegan. falafel,Tender Greens,1134,10,0,8,241.2,23,17,0,0,0,0,1234327,2.097587061
happier vegan: grilled salmon,Tender Greens,1283,0,75,12,2605,6,10,0,0,0,0,1234327,0.454576118
Asian Lettuce Wraps (4),Pick Up Stix,230,10,85,1,810,32,1,0,0,0,0,1234328,1.688429265
Chicken Dumplings Crispy (8),Pick Up Stix,300,2,15,1,304,5,2,0,0,0,0,1234328,1.015153744
Chicken Dumplings Steamed (8),Pick Up Stix,115,2,12,1,304,5,2,0,0,0,0,1234328,1.340651868
Chicken Egg Rolls (2),Pick Up Stix,180,3,15,1,260,7,1,0,0,0,0,1234328,1.210008554
Cream Cheese Wontons (6),Pick Up Stix,250,1,30,6,310,5,1,0,0,0,0,1234328,0.499109142
Edamame,Pick Up Stix,150,3,0,0,105,15,2,0,0,0,0,1234328,5.140106584
Vegetable Spring Rolls (4),Pick Up Stix,220,2,0,2,470,8,7,0,0,0,0,1234328,2.255980861
Wonton Soup Medium,Pick Up Stix,170,1,70,1,1530,14,1,0,0,0,0,1234328,0.749167264
Fried Crispy Noodles,Pick Up Stix,70,0,0,0,180,3,1,0,0,0,0,1234328,2.112695366
Chopped Asian Vinaigrette with Chicken,Pick Up Stix,350,12,50,3,540,20,4,0,0,0,0,1234328,1.404256687
Chopped Asian Vinaigrette with Salmon,Pick Up Stix,340,12,25,3,330,15,4,0,0,0,0,1234328,1.407125753
Grilled Salmon Salad,Pick Up Stix,340,12,30,4,520,13,2,0,0,0,0,1234328,0.885143653
Signature Chinese Chicken,Pick Up Stix,340,12,55,4,380,19,2,0,0,0,0,1234328,1.177372673
House Special Salad with Chicken,Pick Up Stix,590,33,90,5,1910,31,4,0,0,0,0,1234328,0.816611481
House Special Salad with Tofu,Pick Up Stix,540,33,5,4,1850,17,6,0,0,0,0,1234328,0.710253199
Chicken & Vegetables,Pick Up Stix,200,4,55,1,630,22,2,0,0,0,0,1234328,1.860426583
Crispy Honey,Pick Up Stix,680,34,50,6,1180,25,2,0,0,0,0,1234328,0.714389249
Firecracker,Pick Up Stix,630,27,75,4,500,22,5,0,0,0,0,1234328,1.015789152
Garlic,Pick Up Stix,250,17,55,1,860,22,2,0,0,0,0,1234328,1.192423175
General's Orange,Pick Up Stix,580,19,60,5,1300,16,3,0,0,0,0,1234328,0.633661359
Grilled Bourbon,Pick Up Stix,340,23,30,3,570,34,3,0,0,0,0,1234328,1.744823218
Grilled Teriyaki Chicken & Vegetables,Pick Up Stix,370,30,90,4,1860,34,7,0,0,0,0,1234328,1.110476586
House Special,Pick Up Stix,620,39,135,5,1860,38,0,0,0,0,0,1234328,0.731136021
Kung Pao,Pick Up Stix,480,19,90,5,1270,29,2,0,0,0,0,1234328,0.945648646
Spicy Korean Chicken & Shrimp,Pick Up Stix,210,12,100,1,1160,17,2,0,0,0,0,1234328,0.834418066
Sweet & Sour,Pick Up Stix,500,44,30,4,780,15,4,0,0,0,0,1234328,0.625811888
Thai Basil Cashew Chicken,Pick Up Stix,330,10,55,3,640,23,2,0,0,0,0,1234328,1.360412979
Thai Coconut Curry,Pick Up Stix,270,9,18,7,950,24,4,0,0,0,0,1234328,1.368263065
Crispy Honey,Pick Up Stix,280,34,55,1,280,20,0,0,0,0,0,1234328,0.851011347
House Special,Pick Up Stix,410,37,115,2,1500,42,0,0,0,0,0,1234328,1.009369231
House Special Chicken w/ Vegetables,Pick Up Stix,330,40,55,1,1480,23,2,0,0,0,0,1234328,0.721339486
Kung Pao,Pick Up Stix,320,19,55,2,1240,26,2,0,0,0,0,1234328,1.085218898
Sweet and Sour,Pick Up Stix,330,42,55,1,260,21,2,0,0,0,0,1234328,0.909125729
Beef and Broccoli,Pick Up Stix,380,17,60,3,950,17,4,0,0,0,0,1234328,0.933567105
Kung Pao,Pick Up Stix,440,19,60,4,1300,25,2,0,0,0,0,1234328,0.912698413
Mongolian,Pick Up Stix,500,16,75,4,1020,26,1,0,0,0,0,1234328,0.949303964
Spicy Korean Beef,Pick Up Stix,350,12,60,4,900,22,2,0,0,0,0,1234328,1.059907834
Crispy Firecracker,Pick Up Stix,690,44,100,3,3220,30,2,0,0,0,0,1234328,0.54002298
Crispy Honey,Pick Up Stix,520,19,100,3,1070,19,2,0,0,0,0,1234328,0.710440914
Garlic,Pick Up Stix,210,17,120,1,1370,12,2,0,0,0,0,1234328,0.522302548
Kung Pao,Pick Up Stix,290,20,155,2,2140,17,2,0,0,0,0,1234328,0.491645101
Shrimp and Vegetables,Pick Up Stix,180,5,155,1,1570,14,2,0,0,0,0,1234328,0.610426227
Thai Coconut Curry,Pick Up Stix,220,9,155,6,1600,15,4,0,0,0,0,1234328,0.614288012
Spicy Korean Chicken & Shrimp,Pick Up Stix,210,12,100,1,1160,17,2,0,0,0,0,1234328,0.834418066
Grilled Teriyaki Salmon,Pick Up Stix,290,6,25,1,600,16,4,0,0,0,0,1234328,1.755366761
Crispy Honey Tofu,Pick Up Stix,500,31,0,5,240,12,2,0,0,0,0,1234328,0.635907062
Firecracker Tofu,Pick Up Stix,530,40,0,5,1340,13,3,0,0,0,0,1234328,0.483691472
General's Orange Tofu,Pick Up Stix,440,17,0,5,460,12,2,0,0,0,0,1234328,0.770862801
House Tofu,Pick Up Stix,490,28,0,5,1290,14,2,0,0,0,0,1234328,0.543714324
Kung Pao Tofu,Pick Up Stix,470,19,0,4,1310,13,4,0,0,0,0,1234328,0.727407308
Sweet & Sour Tofu,Pick Up Stix,480,42,0,4,230,10,4,0,0,0,0,1234328,0.621118012
Thai Coconut Curry Tofu,Pick Up Stix,400,9,0,9,910,13,6,0,0,0,0,1234328,0.96741499
Vegetable Feast - Dark Sauce,Pick Up Stix,210,19,0,0,820,5,3,0,0,0,0,1234328,0.615381777
Vegetable Feast - Light Sauce,Pick Up Stix,120,7,0,0,880,4,3,0,0,0,0,1234328,0.80303838
Steamed Brown Rice,Pick Up Stix,160,0,0,0,5,3,3,0,0,0,0,1234328,5.085034014
Steamed White Rice,Pick Up Stix,180,0,0,0,0,4,1,0,0,0,0,1234328,3.214285714
Egg Fried Rice,Pick Up Stix,310,6,70,2,730,9,2,0,0,0,0,1234328,0.679004753
Beef Fried Rice,Pick Up Stix,430,5,105,3,820,19,2,0,0,0,0,1234328,0.963338017
Chicken Fried Rice,Pick Up Stix,420,5,110,3,790,19,2,0,0,0,0,1234328,0.964471496
House Special Fried Rice,Pick Up Stix,440,5,130,3,920,20,2,0,0,0,0,1234328,0.904274753
Shrimp Fried Rice,Pick Up Stix,410,5,220,3,1140,16,2,0,0,0,0,1234328,0.581104424
Vegetable Fried Rice,Pick Up Stix,320,5,70,2,760,10,2,0,0,0,0,1234328,0.734569008
Chow Mein,Pick Up Stix,310,16,0,0,1230,7,2,0,0,0,0,1234328,0.523450715
Beef Chow Mein,Pick Up Stix,430,16,35,2,1280,17,2,0,0,0,0,1234328,0.78625634
Chicken Chow Mein,Pick Up Stix,410,16,30,2,1250,15,2,0,0,0,0,1234328,0.732035745
House Special Chow Mein,Pick Up Stix,440,16,60,2,1380,19,2,0,0,0,0,1234328,0.783730159
Shrimp Chow Mein,Pick Up Stix,350,16,75,1,1560,12,2,0,0,0,0,1234328,0.528468138
Vegetable Chow Mein,Pick Up Stix,310,17,0,0,1200,8,3,0,0,0,0,1234328,0.656861847
Beef Drunken Noodles,Pick Up Stix,580,10,60,4,1280,25,4,0,0,0,0,1234328,1.111039547
Chicken Drunken Noodles,Pick Up Stix,450,10,45,2,1210,22,4,0,0,0,0,1234328,1.213186813
Shrimp Drunken Noodles,Pick Up Stix,440,11,155,2,1870,17,4,0,0,0,0,1234328,0.645631014
Tofu Drunken Noodles,Pick Up Stix,620,10,0,4,1180,15,6,0,0,0,0,1234328,1.051241684
Beef Pad Thai,Pick Up Stix,730,29,130,5,2350,28,5,0,0,0,0,1234328,0.696746446
Chicken Pad Thai,Pick Up Stix,670,29,120,5,2290,23,5,0,0,0,0,1234328,0.623446084
Shrimp Pad Thai,Pick Up Stix,640,30,335,5,2860,22,5,0,0,0,0,1234328,0.438063763
Chocolate Covered Fortune Cookies (EA),Pick Up Stix,70,,,3,3,1,0,0,0,0,0,1234328,
Fortune Cookie,Pick Up Stix,20,2,0,0,10,1,0,0,0,0,0,1234328,0.92
Fudge Brownie,Pick Up Stix,430,37,35,6,260,6,3,0,0,0,0,1234328,0.382470036
Steamed Brown Rice,Pick Up Stix,130,0,0,0,5,3,2,0,0,0,0,1234328,4.8913546
Steamed White Rice,Pick Up Stix,150,0,0,0,0,3,0,0,0,0,0,1234328,2
Chicken Dumplings Crispy (2),Pick Up Stix,150,1,8,0,152,3,1,0,0,0,0,1234328,1.27446656
Chicken Dumplings Steamed (2),Pick Up Stix,60,1,6,0,152,3,1,0,0,0,0,1234328,1.75832953
Cream Cheese Wontons (2),Pick Up Stix,170,1,20,4,210,3,1,0,0,0,0,1234328,0.516848154
Egg Fried Rice,Pick Up Stix,140,3,35,1,350,4,1,0,0,0,0,1234328,0.644517736
Plain Chow Mein,Pick Up Stix,140,7,0,0,560,3,1,0,0,0,0,1234328,0.527667443
Small Garden Salad (with dressing),Pick Up Stix,80,3,0,0,170,1,1,0,0,0,0,1234328,0.800892857
Vegetable Spring Roll (1),Pick Up Stix,130,2,0,1,235,4,4,0,0,0,0,1234328,2.166405024
House-Made Sangria Red,El Torito,260,31,0,0,15,1,1,0,0,0,0,1234329,0.1841133
House-Made Sangria White,El Torito,250,31,0,0,10,1,1,0,0,0,0,1234329,0.185875917
Baja combo,El Torito,1450,24,320,19,3870,67,11,0,0,0,0,1234329,0.883340053
Chicken and Sour Cream Enchiladas,El Torito,830,8,60,10,1550,33,15,0,0,0,0,1234329,1.533822006
Spinach Enchiladas,El Torito,820,13,55,16,2420,25,14,0,0,0,0,1234329,0.92404114
Shrimp Mazatlan Enchiladas,El Torito,800,11,215,13,3400,42,9,0,0,0,0,1234329,0.837989077
Sizzling Enchilada with Steak,El Torito,970,12,90,18,3150,34,12,0,0,0,0,1234329,0.841212235
Sizzling Enchilada with Chicken,El Torito,1000,14,110,15,3170,42,12,0,0,0,0,1234329,0.968396563
Enchiladas Rancheras with Chicken,El Torito,740,9,50,10,1850,27,15,0,0,0,0,1234329,1.330661271
Enchiladas Rancheras with Cheese,El Torito,840,9,65,18,1830,31,14,0,0,0,0,1234329,1.11450822
Enchiladas Rancheras with Beef,El Torito,740,9,35,10,1870,26,14,0,0,0,0,1234329,1.28806735
Fresh Tableside Guacamole (4),El Torito,120,1,0,1.5,300,2,5,0,0,0,0,1234329,1.914372756
Mexico City Flautas (2),El Torito,580,13,55,11,700,19,3,0,0,0,0,1234329,0.767066571
Quesadilla (Cheese) (3),El Torito,190,1,25,7,350,7,1,0,0,0,0,1234329,0.627096603
Quesadilla (Steak) (3),El Torito,240,1,40,8,380,12,1,0,0,0,0,1234329,0.821996445
Quesadilla (Chicken) (3),El Torito,230,2,40,7,480,12,1,0,0,0,0,1234329,0.813768745
Nachos Supremos with Chicken (3),El Torito,430,2,60,11,860,21,6,0,0,0,0,1234329,1.1499741
Nacho Supremos with Steak (3),El Torito,420,2,50,10,880,20,5,0,0,0,0,1234329,1.113257908
Grande Fiesta Platter (4),El Torito,520,3,50,11,1030,18,4,0,0,0,0,1234329,0.846850114
Bacon-Wrapped Shrimp (2),El Torito,700,18,70,10,400,14,6,0,0,0,0,1234329,0.764085364
House-Made Tortilla Soup Cup,El Torito,210,3,40,4,1110,15,3,0,0,0,0,1234329,1.037632309
Mexican Caesar,El Torito,410,2,15,7,380,7,3,0,0,0,0,1234329,0.762581931
Tableside Fajita Salad (Steak),El Torito,910,18,70,16,1820,26,10,0,0,0,0,1234329,0.830741718
Tableside Fajita Salad (Chicken),El Torito,930,20,90,13,1840,34,10,0,0,0,0,1234329,0.991532368
Grilled Chicken Taco Salad,El Torito,890,7,75,10,1550,46,21,0,0,0,0,1234329,2.078238286
Grilled Chicken Mexican Caesar,El Torito,740,5,85,10,1110,30,6,0,0,0,0,1234329,1.172685638
Grilled Steak Fajitas,El Torito,850,14,110,18,2700,36,16,0,0,0,0,1234329,1.026383601
Grilled Chicken Fajitas,El Torito,890,17,145,12,2730,50,16,0,0,0,0,1234329,1.285826097
Shrimp Fajitas,El Torito,850,15,335,16,3510,50,12,0,0,0,0,1234329,0.856919313
Ignited Fajitas Supremas,El Torito,1020,16,285,19,3590,61,12,0,0,0,0,1234329,0.960511269
Seafood Fajitas,El Torito,1020,17,275,24,3900,53,13,0,0,0,0,1234329,0.817343132
Fajitas Duo,El Torito,850,14,110,18,2700,36,16,0,0,0,0,1234329,1.026383601
Fajitas Combo,El Torito,1090,16,130,24,3180,46,19,0,0,0,0,1234329,1.029757348
Family Style Fajitas (4),El Torito,970,11,155,23,2040,37,10,0,0,0,0,1234329,0.841722711
Fajita Tortillas - Corn,El Torito,140,0,0,0,40,2,2,0,0,0,0,1234329,3.187633262
Fajita Tortillas - Flour,El Torito,360,0,0,0,640,8,4,0,0,0,0,1234329,1.652209271
Carne Asada,El Torito,1660,11,225,34,4220,79,11,0,0,0,0,1234329,0.924525556
Carne Asada and Shrimp,El Torito,1890,9,1220,26,7600,185,9,0,0,0,0,1234329,1.026292013
Pollo Fresco en Adobo,El Torito,1040,10,270,21,3490,67,9,0,0,0,0,1234329,0.991923402
Carnitas Michoacn,El Torito,1520,14,105,51,2660,31,13,0,0,0,0,1234329,0.53187535
Chile Verde,El Torito,1600,18,110,54,3470,32,15,0,0,0,0,1234329,0.512484748
Create your Own Combo - 2 Item,El Torito,1135,11,63,15,2975,34,20,0,0,0,0,1234329,1.146247683
Create your Own Combo - 3 Item,El Torito,1490,13,88,21,4030,45,25,0,0,0,0,1234329,1.093070342
Macho Combo,El Torito,1790,13,220,33,4140,66,26,0,0,0,0,1234329,1.053030641
Sizzling Combo,El Torito,1120,13,255,24,3990,53,11,0,0,0,0,1234329,0.788776185
Carne Asada Burrito,El Torito,1410,12,125,23,3330,57,20,0,0,0,0,1234329,1.170784889
Burrito Especial Chicken,El Torito,1020,12,95,15,2860,44,17,0,0,0,0,1234329,1.214928453
Burrito Especial Beef,El Torito,1000,12,60,14,2920,40,15,0,0,0,0,1234329,1.147692341
Street Taco Trio with Steak,El Torito,660,9,70,6,2960,39,9,0,0,0,0,1234329,1.181643315
Street Taco Trio with Chicken,El Torito,760,12,115,8,2940,43,9,0,0,0,0,1234329,1.101423707
Street Taco Trio with Carnitas,El Torito,1310,11,85,41,2700,26,9,0,0,0,0,1234329,0.48002126
Street Taco Trio with Fish,El Torito,730,10,75,12,1960,27,9,0,0,0,0,1234329,0.94989247
Street Taco Trio with Shrimp,El Torito,690,30,175,10,2580,30,9,0,0,0,0,1234329,0.731275694
Soup and Mexican Caesar Salad,El Torito,610,5,50,11,1490,23,6,0,0,0,0,1234329,0.952653964
Dos Tacos with Chicken,El Torito,670,10,80,9,2330,31,8,0,0,0,0,1234329,0.999812589
Dos Tacos with Carnitas,El Torito,1030,9,60,31,2170,20,8,0,0,0,0,1234329,0.505916102
Dos Tacos with Steak,El Torito,600,8,50,8,2340,29,8,0,0,0,0,1234329,1.058818167
Burrito Especial,El Torito,830,11,65,17,3150,29,8,0,0,0,0,1234329,0.70469629
Fajitas Chiquitas Carnitas,El Torito,900,11,60,27,1530,18,9,0,0,0,0,1234329,0.590448205
Fajitas Chiquitas Chicken,El Torito,580,12,75,7,1670,28,9,0,0,0,0,1234329,1.187213466
Fajitas Chiquitas Steak,El Torito,560,10,60,10,1650,21,9,0,0,0,0,1234329,0.976905198
Beef Crispy Taco and Chicken and Sour Cream Enchilada,El Torito,640,9,50,7,1780,25,11,0,0,0,0,1234329,1.246603457
Mexican Caesar Salad and Quesadilla,El Torito,650,2,40,14,840,17,5,0,0,0,0,1234329,0.829156708
Mexican Caesar Salad and Quesadilla with Steak,El Torito,660,3,45,14,800,19,5,0,0,0,0,1234329,0.879459396
Mexican Caesar Salad and Quesadilla with Chicken,El Torito,650,3,45,13,890,19,5,0,0,0,0,1234329,0.88833791
Vegetables,El Torito,90,4,0,0.5,25,12,3,0,0,0,0,1234329,5.394787645
Sweet Corn Cake,El Torito,70,5,10,2.5,50,1,0,0,0,0,0,1234329,0.158693652
Rice,El Torito,130,1,0,0,570,3,1,0,0,0,0,1234329,0.718951199
Refried Beans,El Torito,220,0,0,1.5,240,9,9,0,0,0,0,1234329,4.332403134
Frijoles de la Olla,El Torito,70,1,0,0,370,4,4,0,0,0,0,1234329,2.580923608
Fresh Fruit,El Torito,50,11,0,0,15,1,1,0,0,0,0,1234329,0.553772071
Papas Calientes,El Torito,400,10,15,7,1000,4,3,0,0,0,0,1234329,0.37889839
Mini Tacos,El Torito,270,2,15,4.5,490,7,4,0,0,0,0,1234329,1.066510539
Sliders,El Torito,390,9,40,11,700,6,1,0,0,0,0,1234329,0.285676302
Queso Dip (4),El Torito,160,2,20,4.5,410,7,2,0,0,0,0,1234329,0.895993823
Esquites,El Torito,390,17,50,12,700,8,2,0,0,0,0,1234329,0.360252931
Torta,El Torito,600,6,40,10,1200,20,6,0,0,0,0,1234329,0.97501183
Sopes,El Torito,220,2,20,4,800,8,3,0,0,0,0,1234329,0.873595125
Ceviche,El Torito,190,4,30,1,900,8,4,0,0,0,0,1234329,1.05701279
Taquitos,El Torito,720,4,25,10,1000,12,3,0,0,0,0,1234329,0.595190765
Home-Style Flan (2),El Torito,360,54,150,7,120,10,0,0,0,0,0,1234329,0.231248743
Sopapillas (4),El Torito,170,7,10,3,190,2,1,0,0,0,0,1234329,0.385556141
Deep-Fried Ice Cream (4),El Torito,180,13,15,4.5,100,2,1,0,0,0,0,1234329,0.283159117
Chocolate Volcano Cake (4),El Torito,240,21,30,8,90,3,1,0,0,0,0,1234329,0.221739381
