menu,restaurantChain,Calories(kcal),Sugar(g),Cholesterol(mg),Saturated Fat(g),Sodium(mg),Protein(g),Fiber(g),Calcium(mg),Iron(mg),Vitamin A(IU),Vitamin C(mg),id,RRR_m1
White Toast,Cheesecake Factory,330,8,0,2.5,730,10,2,0,0,0,0,1234322,0.884257386
Wheat Toast,Cheesecake Factory,270,8,0,0.5,560,10,5,0,0,0,0,1234322,1.679618607
Bagel,Cheesecake Factory,360,7,0,0,580,11,2,0,0,0,0,1234322,1.273339123
English Muffin,Cheesecake Factory,190,2,0,0,310,6,2,0,0,0,0,1234322,1.773915045
Sourdough Baguette,Cheesecake Factory,260,1,0,0,660,9,2,0,0,0,0,1234322,1.438521677
Wheat Baguette,Cheesecake Factory,370,15,0,0.5,550,12,5,0,0,0,0,1234322,1.39685764
Giant Belgian Waffle,Cheesecake Factory,690,50,115,22,680,6,1,0,0,0,0,1234322,0.124611882
"Giant Belgian Waffle with Strawberries, Pecans and Chantilly Cream",Cheesecake Factory,950,76,135,27,750,8,5,0,0,0,0,1234322,0.205389641
Fried Chicken & Waffles,Cheesecake Factory,1190,54,215,26,1260,44,1,0,0,0,0,1234322,0.539990477
Buttermilk Pancakes,Cheesecake Factory,1370,69,170,26,2740,23,6,0,0,0,0,1234322,0.329050131
Buttermilk Pancakes with Wild Blueberries,Cheesecake Factory,1460,89,170,26,2740,23,9,0,0,0,0,1234322,0.350858764
Caramel Apple Pancakes,Cheesecake Factory,1950,144,240,41,2900,25,8,0,0,0,0,1234322,0.246587733
Cinnamon Roll Pancakes,Cheesecake Factory,2040,137,310,51,2950,23,3,0,0,0,0,1234322,0.164371281
Lemon-Ricotta Pancakes,Cheesecake Factory,1740,121,315,40,2760,28,3,0,0,0,0,1234322,0.221201213
Brunch Combo,Cheesecake Factory,1110,50,555,38,1010,26,2,0,0,0,0,1234322,0.257405615
Bruled French Toast,Cheesecake Factory,1980,112,595,64,1000,33,7,0,0,0,0,1234322,0.257116884
Bruled French Toast with Bacon,Cheesecake Factory,2180,115,635,70,1070,45,7,0,0,0,0,1234322,0.303529898
Bruled French Toast with Grilled Ham,Cheesecake Factory,2140,113,670,66,2620,64,7,0,0,0,0,1234322,0.382405784
Eggs Benedict with Canadian Bacon and Hollandaise,Cheesecake Factory,1290,3,345,57,1740,38,3,0,0,0,0,1234322,0.396932805
Bacon And Avocado Benedict,Cheesecake Factory,1340,10,280,51,1010,35,7,0,0,0,0,1234322,0.495569735
Fried Chicken & Waffles Benedict,Cheesecake Factory,1670,48,425,71,1440,33,3,0,0,0,0,1234322,0.259599499
Green Chilaquiles with Carnitas and Eggs,Cheesecake Factory,1640,14,945,33,2250,85,11,0,0,0,0,1234322,0.760678165
Green Chilaquiles with Chicken and Eggs,Cheesecake Factory,1610,17,990,29,2730,90,11,0,0,0,0,1234322,0.774100044
Monte Cristo Sandwich,Cheesecake Factory,1960,70,870,64,2470,74,6,0,0,0,0,1234322,0.443348633
Jambalaya Hash & Eggs,Cheesecake Factory,1750,15,750,68,2370,44,8,0,0,0,0,1234322,0.359547118
Kids' Brunch with French Toast,Cheesecake Factory,1140,67,320,35,530,23,4,0,0,0,0,1234322,0.304037122
Kids' Brunch with Buttermilk Pancakes,Cheesecake Factory,680,40,85,16,930,14,3,0,0,0,0,1234322,0.368331272
Original,Cheesecake Factory,830,51,265,37,510,12,1,0,0,0,0,1234322,0.157010099
Fresh Strawberry,Cheesecake Factory,1000,66,305,43,550,12,2,0,0,0,0,1234322,0.148986157
Oreo¨ Dream Extreme Cheesecake,Cheesecake Factory,1510,122,290,51,800,15,7,0,0,0,0,1234322,0.194773201
Ultimate Red Velvet Cake Cheesecakeª,Cheesecake Factory,1580,104,350,62,630,14,1,0,0,0,0,1234322,0.106507958
Reese's¨ Peanut Butter Chocolate Cake Cheesecake,Cheesecake Factory,1510,121,245,44,940,23,8,0,0,0,0,1234322,0.282452027
Godiva¨ Chocolate Cheesecake,Cheesecake Factory,1400,96,380,66,260,15,8,0,0,0,0,1234322,0.200595049
Coconut Cream Pie Cheesecake,Cheesecake Factory,1370,93,335,64,530,12,5,0,0,0,0,1234322,0.147548449
Adam's Peanut Butter Cup Fudge Ripple,Cheesecake Factory,1250,94,245,43,750,18,5,0,0,0,0,1234322,0.232232802
Pineapple Upside-Down Cheesecake,Cheesecake Factory,1260,99,310,47,510,10,1,0,0,0,0,1234322,0.094815582
Celebration Cheesecake,Cheesecake Factory,1380,87,370,58,740,15,1,0,0,0,0,1234322,0.121899329
Classic Basque Cheesecake,Cheesecake Factory,1150,137,830,88,510,30,4,0,0,0,0,1234322,0.173509525
Caramel Apple Cheesecake,Cheesecake Factory,1110,84,280,42,640,12,2,0,0,0,0,1234322,0.140369279
Cinnabon¨ Cinnamon Swirl Cheesecake,Cheesecake Factory,1370,120,275,51,710,10,2,0,0,0,0,1234322,0.098911894
Salted Caramel Cheesecake,Cheesecake Factory,1240,107,300,43,750,15,2,0,0,0,0,1234322,0.148902899
Toasted Marshmallow S'mores Galoreª,Cheesecake Factory,1550,102,350,67,570,14,6,0,0,0,0,1234322,0.163033903
Dulce De Leche Caramel Cheesecake,Cheesecake Factory,1390,83,385,61,600,14,2,0,0,0,0,1234322,0.126427655
White Chocolate Raspberry Truffle¨,Cheesecake Factory,1220,78,365,57,550,13,1,0,0,0,0,1234322,0.114161346
